Date,OBOSX OIL SERV GR,volume,OBSFX SEAFOOD GR,volume,OBSHX SHIPPING GR,volume,OSE All-SHARE GR,volume,OSEBX GR,volume,OSEFX MUTUAL F GR,volume,OSEMX MID CAP GR,volume,OSESX SMALL CAP GR,volume,OSLO BØRS EQ C GR,volume,OSLO BØRS EQ C PR,volume,OSLO ENERGY GR,volume,OSLO ENERGY PR,volume,OSLO SEAFOOD GR,volume,OSLO SEAFOOD PR,volume,OSLO SHIPPING GR,volume,OSLO SHIPPING PR,volume
41276,117.12,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41277,117.19,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41278,117.48,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41279,116.1,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41280,117.79,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41281,117.75,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41282,118.35,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41283,118.32,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41284,118.46,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41285,118,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41286,118.84,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41287,119.39,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41288,119.4,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41289,119.61,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41290,119.36,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41291,121.22,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41292,120.79,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41293,121.85,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41294,121.21,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41295,121.58,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41296,118.83,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41297,118.96,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41298,120,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41299,119.24,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41300,118.07,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41301,116.9,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41302,117.89,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41303,118.73,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41304,117.69,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41305,118.38,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41306,118.47,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41307,118.32,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41308,117.25,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41309,116.69,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41310,118.25,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41311,118.6,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41312,117.17,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41313,117.91,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41314,118.75,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41315,118.41,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41316,119.54,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41317,118.73,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41318,118.35,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41319,118.71,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41320,121.31,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41321,121.14,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41322,120.76,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41323,120.6,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41324,121.26,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41325,121.34,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41326,121.52,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41327,122.31,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41328,121.48,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41329,121.6,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41330,121.37,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41331,120.28,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41332,120.08,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41333,119.07,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41334,118.68,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41335,118.39,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41336,118.38,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41337,119,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41338,119.65,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41339,118.19,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41340,115.65,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41341,117.41,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41342,117.83,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41343,118.16,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41344,118.69,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41345,118.04,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41346,114.08,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41347,112.92,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41348,110.75,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41349,111.45,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41350,112.39,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41351,111.73,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41352,113.76,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41353,116.17,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41354,117.87,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41355,116.72,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41356,112,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41357,111.04,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41358,111.11,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41359,113.39,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41360,113.73,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41361,114.89,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41362,115.55,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41363,115.81,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41364,115.85,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41365,115.65,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41366,115.8,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41367,115.88,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41368,117.71,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41369,117.94,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41370,114.95,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41371,114.77,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41372,116.21,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41373,118.41,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41374,117.09,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41375,117.4,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41376,116.97,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41377,116.35,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41378,116.55,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41379,114.76,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41380,113.75,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41381,115.02,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41382,114.21,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
41383,112.29,0,#N/A,#N/A,#N/A,#N/A,533.82,0,472.75,0,486.77,0,#N/A,#N/A,805.24,0,768.54,0,#N/A,#N/A,136.91,0,#N/A,#N/A,167.51,0,#N/A,#N/A,112.77,0,#N/A,#N/A
