EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, HONNINGSVAG LUFTHAVN (STAID: 5003).
Blended and updated with sources: 133136 200586 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200586,19790101,  -27,    0
200586,19790102,  -94,    0
200586,19790103,  -49,    0
200586,19790104,  -41,    0
200586,19790105,  -52,    0
200586,19790106,  -65,    0
200586,19790107,  -79,    0
200586,19790108,  -86,    0
200586,19790109,  -60,    0
200586,19790110,  -47,    0
200586,19790111,  -69,    0
200586,19790112,  -68,    0
200586,19790113,  -62,    0
200586,19790114,  -30,    0
200586,19790115,  -13,    0
200586,19790116,  -39,    0
200586,19790117,  -29,    0
200586,19790118,   30,    0
200586,19790119,   15,    0
200586,19790120,  -24,    0
200586,19790121,  -40,    0
200586,19790122,  -71,    0
200586,19790123,  -96,    0
200586,19790124, -113,    0
200586,19790125, -117,    0
200586,19790126, -106,    0
200586,19790127, -149,    0
200586,19790128,  -92,    0
200586,19790129,  -29,    0
200586,19790130,  -56,    0
200586,19790131,  -65,    0
200586,19790201,  -56,    0
200586,19790202,  -29,    0
200586,19790203,  -38,    0
200586,19790204,  -46,    0
200586,19790205,  -59,    0
200586,19790206, -122,    0
200586,19790207, -126,    0
200586,19790208,  -89,    0
200586,19790209, -104,    0
200586,19790210,  -67,    0
200586,19790211,  -89,    0
200586,19790212,  -99,    0
200586,19790213,  -90,    0
200586,19790214,  -28,    0
200586,19790215,   -1,    0
200586,19790216,    8,    0
200586,19790217,   29,    0
200586,19790218,   29,    0
200586,19790219,  -10,    0
200586,19790220,    8,    0
200586,19790221,   13,    0
200586,19790222,   42,    0
200586,19790223,   -2,    0
200586,19790224,  -67,    0
200586,19790225,  -96,    0
200586,19790226,   -6,    0
200586,19790227,  -40,    0
200586,19790228,  -64,    0
200586,19790301,  -38,    0
200586,19790302,    2,    0
200586,19790303,   -4,    0
200586,19790304,    2,    0
200586,19790305,    3,    0
200586,19790306,  -31,    0
200586,19790307,  -10,    0
200586,19790308,   13,    0
200586,19790309,   -6,    0
200586,19790310,    3,    0
200586,19790311,   -4,    0
200586,19790312,   -8,    0
200586,19790313,   -7,    0
200586,19790314,  -54,    0
200586,19790315,  -74,    0
200586,19790316,  -72,    0
200586,19790317,  -75,    0
200586,19790318,  -83,    0
200586,19790319,  -87,    0
200586,19790320, -112,    0
200586,19790321,  -97,    0
200586,19790322,  -68,    0
200586,19790323,  -47,    0
200586,19790324,  -47,    0
200586,19790325,  -22,    0
200586,19790326,    2,    0
200586,19790327,   22,    0
200586,19790328,   25,    0
200586,19790329,   23,    0
200586,19790330,   26,    0
200586,19790331,   22,    0
200586,19790401,   17,    0
200586,19790402,    8,    0
200586,19790403,   -2,    0
200586,19790404,   14,    0
200586,19790405,    8,    0
200586,19790406,    0,    0
200586,19790407,    6,    0
200586,19790408,   -9,    0
200586,19790409,   -5,    0
200586,19790410,  -24,    0
200586,19790411,  -27,    0
200586,19790412,  -40,    0
200586,19790413,  -69,    0
200586,19790414,  -52,    0
200586,19790415,  -44,    0
200586,19790416,  -37,    0
200586,19790417,  -34,    0
200586,19790418,  -52,    0
200586,19790419,  -46,    0
200586,19790420,   -9,    0
200586,19790421,   10,    0
200586,19790422,   35,    0
200586,19790423,   43,    0
200586,19790424,    9,    0
200586,19790425,   15,    0
200586,19790426,   42,    0
200586,19790427,   24,    0
200586,19790428,   21,    0
200586,19790429,   30,    0
200586,19790430,   30,    0
200586,19790501,   47,    0
200586,19790502,   42,    0
200586,19790503,   33,    0
200586,19790504,   47,    0
200586,19790505,   47,    0
200586,19790506,   32,    0
200586,19790507,   46,    0
200586,19790508,   25,    0
200586,19790509,   24,    0
200586,19790510,   47,    0
200586,19790511,   43,    0
200586,19790512,   33,    0
200586,19790513,   16,    0
200586,19790514,    5,    0
200586,19790515,    7,    0
200586,19790516,    4,    0
200586,19790517,    2,    0
200586,19790518,   10,    0
200586,19790519,   16,    0
200586,19790520,   28,    0
200586,19790521,    9,    0
200586,19790522,   29,    0
200586,19790523,   19,    0
200586,19790524,   27,    0
200586,19790525,   78,    0
200586,19790526,   87,    0
200586,19790527,   70,    0
200586,19790528,   44,    0
200586,19790529,   13,    0
200586,19790530,   18,    0
200586,19790531,   27,    0
200586,19790601,   41,    0
200586,19790602,   75,    0
200586,19790603,   57,    0
200586,19790604,   31,    0
200586,19790605,   38,    0
200586,19790606,   34,    0
200586,19790607,   28,    0
200586,19790608,   49,    0
200586,19790609,   25,    0
200586,19790610,   19,    0
200586,19790611,   41,    0
200586,19790612,   42,    0
200586,19790613,   68,    0
200586,19790614,   77,    0
200586,19790615,  125,    0
200586,19790616,   70,    0
200586,19790617,   50,    0
200586,19790618,   50,    0
200586,19790619,   48,    0
200586,19790620,   46,    0
200586,19790621,   48,    0
200586,19790622,   67,    0
200586,19790623,   80,    0
200586,19790624,  115,    0
200586,19790625,  121,    0
200586,19790626,  155,    0
200586,19790627,   81,    0
200586,19790628,   72,    0
200586,19790629,   70,    0
200586,19790630,  112,    0
200586,19790701,  125,    0
200586,19790702,  134,    0
200586,19790703,  139,    0
200586,19790704,  109,    0
200586,19790705,   87,    0
200586,19790706,   96,    0
200586,19790707,  120,    0
200586,19790708,  166,    0
200586,19790709,  152,    0
200586,19790710,  129,    0
200586,19790711,  138,    0
200586,19790712,   84,    0
200586,19790713,  139,    0
200586,19790714,  160,    0
200586,19790715,  169,    0
200586,19790716,  129,    0
200586,19790717,  114,    0
200586,19790718,  129,    0
200586,19790719,  156,    0
200586,19790720,  134,    0
200586,19790721,  119,    0
200586,19790722,  102,    0
200586,19790723,   93,    0
200586,19790724,   86,    0
200586,19790725,   80,    0
200586,19790726,   86,    0
200586,19790727,   86,    0
200586,19790728,   87,    0
200586,19790729,   87,    0
200586,19790730,   86,    0
200586,19790731,   80,    0
200586,19790801,   77,    0
200586,19790802,   79,    0
200586,19790803,   82,    0
200586,19790804,   82,    0
200586,19790805,   96,    0
200586,19790806,  101,    0
200586,19790807,  107,    0
200586,19790808,  120,    0
200586,19790809,  121,    0
200586,19790810,  106,    0
200586,19790811,  119,    0
200586,19790812,  149,    0
200586,19790813,  179,    0
200586,19790814,  176,    0
200586,19790815,  165,    0
200586,19790816,  134,    0
200586,19790817,  112,    0
200586,19790818,  106,    0
200586,19790819,  107,    0
200586,19790820,  125,    0
200586,19790821,   99,    0
200586,19790822,   98,    0
200586,19790823,   96,    0
200586,19790824,  101,    0
200586,19790825,   76,    0
200586,19790826,   73,    0
200586,19790827,   76,    0
200586,19790828,   78,    0
200586,19790829,   90,    0
200586,19790830,   96,    0
200586,19790831,   79,    0
200586,19790901,   65,    0
200586,19790902,   58,    0
200586,19790903,   52,    0
200586,19790904,   62,    0
200586,19790905,   77,    0
200586,19790906,   87,    0
200586,19790907,  107,    0
200586,19790908,  123,    0
200586,19790909,   94,    0
200586,19790910,   89,    0
200586,19790911,   69,    0
200586,19790912,   64,    0
200586,19790913,   77,    0
200586,19790914,   77,    0
200586,19790915,   78,    0
200586,19790916,   79,    0
200586,19790917,   72,    0
200586,19790918,   70,    0
200586,19790919,   92,    0
200586,19790920,   78,    0
200586,19790921,   75,    0
200586,19790922,   79,    0
200586,19790923,   65,    0
200586,19790924,   42,    0
200586,19790925,   54,    0
200586,19790926,   84,    0
200586,19790927,   67,    0
200586,19790928,   56,    0
200586,19790929,   43,    0
200586,19790930,   36,    0
200586,19791001,   37,    0
200586,19791002,   39,    0
200586,19791003,   35,    0
200586,19791004,   30,    0
200586,19791005,   40,    0
200586,19791006,   44,    0
200586,19791007,   31,    0
200586,19791008,   24,    0
200586,19791009,   25,    0
200586,19791010,   20,    0
200586,19791011,    8,    0
200586,19791012,   -2,    0
200586,19791013,   -3,    0
200586,19791014,   -6,    0
200586,19791015,    8,    0
200586,19791016,  -10,    0
200586,19791017,    7,    0
200586,19791018,    8,    0
200586,19791019,   13,    0
200586,19791020,   32,    0
200586,19791021,   17,    0
200586,19791022,    3,    0
200586,19791023,    8,    0
200586,19791024,   64,    0
200586,19791025,   60,    0
200586,19791026,   29,    0
200586,19791027,   31,    0
200586,19791028,    8,    0
200586,19791029,   -4,    0
200586,19791030,  -25,    0
200586,19791031,  -24,    0
200586,19791101,  -26,    0
200586,19791102,  -16,    0
200586,19791103,  -17,    0
200586,19791104,    0,    0
200586,19791105,    9,    0
200586,19791106,    5,    0
200586,19791107,   13,    0
200586,19791108,   25,    0
200586,19791109,   16,    0
200586,19791110,   10,    0
200586,19791111,    1,    0
200586,19791112,  -21,    0
200586,19791113,  -18,    0
200586,19791114,    9,    0
200586,19791115,   10,    0
200586,19791116,   10,    0
200586,19791117,   -9,    0
200586,19791118,   29,    0
200586,19791119,   14,    0
200586,19791120,   18,    0
200586,19791121,    9,    0
200586,19791122,   30,    0
200586,19791123,  -10,    0
200586,19791124,  -14,    0
200586,19791125,    5,    0
200586,19791126,  -38,    0
200586,19791127,  -10,    0
200586,19791128,  -20,    0
200586,19791129,  -48,    0
200586,19791130,  -38,    0
200586,19791201,   18,    0
200586,19791202,  -10,    0
200586,19791203,   -5,    0
200586,19791204,   17,    0
200586,19791205,   -8,    0
200586,19791206,   -6,    0
200586,19791207,  -44,    0
200586,19791208,  -22,    0
200586,19791209,  -41,    0
200586,19791210,  -30,    0
200586,19791211,  -31,    0
200586,19791212,  -41,    0
200586,19791213,    7,    0
200586,19791214,  -15,    0
200586,19791215,  -36,    0
200586,19791216,  -28,    0
200586,19791217,  -51,    0
200586,19791218,  -17,    0
200586,19791219,    0,    0
200586,19791220,   10,    0
200586,19791221,   50,    0
200586,19791222,   49,    0
200586,19791223,    4,    0
200586,19791224,   15,    0
200586,19791225,    6,    0
200586,19791226,    9,    0
200586,19791227,  -12,    0
200586,19791228,   -3,    0
200586,19791229,    2,    0
200586,19791230,  -26,    0
200586,19791231,  -18,    0
200586,19800101,  -31,    0
200586,19800102,  -30,    0
200586,19800103,  -43,    0
200586,19800104,  -11,    0
200586,19800105,  -73,    0
200586,19800106,  -34,    0
200586,19800107,    7,    0
200586,19800108,   26,    0
200586,19800109,   20,    0
200586,19800110,   29,    0
200586,19800111,   21,    0
200586,19800112,  -15,    0
200586,19800113,  -12,    0
200586,19800114,   -9,    0
200586,19800115,  -46,    0
200586,19800116,  -57,    0
200586,19800117,  -21,    0
200586,19800118,   -2,    0
200586,19800119,  -23,    0
200586,19800120,    7,    0
200586,19800121,   30,    0
200586,19800122,  -38,    0
200586,19800123,  -83,    0
200586,19800124, -109,    0
200586,19800125,  -56,    0
200586,19800126,  -58,    0
200586,19800127, -102,    0
200586,19800128,  -99,    0
200586,19800129,  -85,    0
200586,19800130,  -94,    0
200586,19800131, -119,    0
200586,19800201, -139,    0
200586,19800202, -142,    0
200586,19800203, -126,    0
200586,19800204, -102,    0
200586,19800205,  -40,    0
200586,19800206,  -45,    0
200586,19800207,  -51,    0
200586,19800208,  -71,    0
200586,19800209,  -50,    0
200586,19800210,  -57,    0
200586,19800211,  -36,    0
200586,19800212,  -42,    0
200586,19800213,  -30,    0
200586,19800214,  -65,    0
200586,19800215,  -39,    0
200586,19800216,  -41,    0
200586,19800217,  -61,    0
200586,19800218,   11,    0
200586,19800219,   32,    0
200586,19800220,   44,    0
200586,19800221,   49,    0
200586,19800222,   39,    0
200586,19800223,   20,    0
200586,19800224,   49,    0
200586,19800225,   48,    0
200586,19800226,   34,    0
200586,19800227,   -9,    0
200586,19800228,  -14,    0
200586,19800229,  -25,    0
200586,19800301,  -38,    0
200586,19800302,  -58,    0
200586,19800303,  -53,    0
200586,19800304,  -64,    0
200586,19800305,  -72,    0
200586,19800306,  -74,    0
200586,19800307,  -15,    0
200586,19800308,   -8,    0
200586,19800309,  -19,    0
200586,19800310,  -34,    0
200586,19800311,  -13,    0
200586,19800312,  -43,    0
200586,19800313,  -28,    0
200586,19800314,  -19,    0
200586,19800315,   15,    0
200586,19800316,    1,    0
200586,19800317,  -32,    0
200586,19800318,  -37,    0
200586,19800319,  -19,    0
200586,19800320,  -54,    0
200586,19800321,  -59,    0
200586,19800322,  -37,    0
200586,19800323,  -19,    0
200586,19800324,   -8,    0
200586,19800325,  -22,    0
200586,19800326,  -23,    0
200586,19800327,  -18,    0
200586,19800328,  -20,    0
200586,19800329,  -25,    0
200586,19800330,  -32,    0
200586,19800331,  -30,    0
200586,19800401,  -32,    0
200586,19800402,  -14,    0
200586,19800403,   10,    0
200586,19800404,    8,    0
200586,19800405,    8,    0
200586,19800406,   37,    0
200586,19800407,    7,    0
200586,19800408,  -27,    0
200586,19800409,  -32,    0
200586,19800410,  -25,    0
200586,19800411,  -11,    0
200586,19800412,   -5,    0
200586,19800413,   10,    0
200586,19800414,    6,    0
200586,19800415,   34,    0
200586,19800416,   35,    0
200586,19800417,   39,    0
200586,19800418,   23,    0
200586,19800419,   29,    0
200586,19800420,   30,    0
200586,19800421,   18,    0
200586,19800422,   25,    0
200586,19800423,   51,    0
200586,19800424,   12,    0
200586,19800425,    9,    0
200586,19800426,   18,    0
200586,19800427,   21,    0
200586,19800428,   31,    0
200586,19800429,   18,    0
200586,19800430,   12,    0
200586,19800501,   12,    0
200586,19800502,   36,    0
200586,19800503,   38,    0
200586,19800504,   20,    0
200586,19800505,    2,    0
200586,19800506,   -6,    0
200586,19800507,   -5,    0
200586,19800508,   -6,    0
200586,19800509,   -3,    0
200586,19800510,    7,    0
200586,19800511,  -17,    0
200586,19800512,    1,    0
200586,19800513,   15,    0
200586,19800514,   39,    0
200586,19800515,   46,    0
200586,19800516,   47,    0
200586,19800517,   11,    0
200586,19800518,   -2,    0
200586,19800519,    7,    0
200586,19800520,   16,    0
200586,19800521,   31,    0
200586,19800522,   48,    0
200586,19800523,   51,    0
200586,19800524,   52,    0
200586,19800525,   90,    0
200586,19800526,  100,    0
200586,19800527,   70,    0
200586,19800528,   32,    0
200586,19800529,   27,    0
200586,19800530,   58,    0
200586,19800531,   64,    0
200586,19800601,   92,    0
200586,19800602,  154,    0
200586,19800603,   63,    0
200586,19800604,   67,    0
200586,19800605,   69,    0
200586,19800606,   62,    0
200586,19800607,   66,    0
200586,19800608,   64,    0
200586,19800609,   51,    0
200586,19800610,   58,    0
200586,19800611,   53,    0
200586,19800612,   24,    0
200586,19800613,   40,    0
200586,19800614,   61,    0
200586,19800615,   77,    0
200586,19800616,   68,    0
200586,19800617,   66,    0
200586,19800618,   69,    0
200586,19800619,  110,    0
200586,19800620,  181,    0
200586,19800621,   58,    0
200586,19800622,   63,    0
200586,19800623,   67,    0
200586,19800624,  107,    0
200586,19800625,  133,    0
200586,19800626,  121,    0
200586,19800627,   87,    0
200586,19800628,   81,    0
200586,19800629,   80,    0
200586,19800630,   96,    0
200586,19800701,   76,    0
200586,19800702,   88,    0
200586,19800703,   94,    0
200586,19800704,   66,    0
200586,19800705,   57,    0
200586,19800706,   53,    0
200586,19800707,   52,    0
200586,19800708,   53,    0
200586,19800709,   64,    0
200586,19800710,   62,    0
200586,19800711,   64,    0
200586,19800712,   76,    0
200586,19800713,   79,    0
200586,19800714,   62,    0
200586,19800715,   77,    0
200586,19800716,   79,    0
200586,19800717,   72,    0
200586,19800718,   60,    0
200586,19800719,   56,    0
200586,19800720,   62,    0
200586,19800721,   79,    0
200586,19800722,   96,    0
200586,19800723,   85,    0
200586,19800724,  137,    0
200586,19800725,  136,    0
200586,19800726,  156,    0
200586,19800727,  177,    0
200586,19800728,  102,    0
200586,19800729,  114,    0
200586,19800730,  137,    0
200586,19800731,  117,    0
200586,19800801,   81,    0
200586,19800802,  102,    0
200586,19800803,   85,    0
200586,19800804,  114,    0
200586,19800805,   91,    0
200586,19800806,   75,    0
200586,19800807,   73,    0
200586,19800808,   89,    0
200586,19800809,   92,    0
200586,19800810,   94,    0
200586,19800811,   91,    0
200586,19800812,  125,    0
200586,19800813,  132,    0
200586,19800814,  130,    0
200586,19800815,  168,    0
200586,19800816,  178,    0
200586,19800817,  184,    0
200586,19800818,  147,    0
200586,19800819,  163,    0
200586,19800820,  154,    0
200586,19800821,  153,    0
200586,19800822,  112,    0
200586,19800823,   69,    0
200586,19800824,   49,    0
200586,19800825,   52,    0
200586,19800826,   71,    0
200586,19800827,   78,    0
200586,19800828,   91,    0
200586,19800829,   88,    0
200586,19800830,   80,    0
200586,19800831,   76,    0
200586,19800901,   69,    0
200586,19800902,   66,    0
200586,19800903,   92,    0
200586,19800904,  103,    0
200586,19800905,   87,    0
200586,19800906,   81,    0
200586,19800907,   90,    0
200586,19800908,  100,    0
200586,19800909,  105,    0
200586,19800910,   95,    0
200586,19800911,   94,    0
200586,19800912,   79,    0
200586,19800913,   83,    0
200586,19800914,   90,    0
200586,19800915,   87,    0
200586,19800916,   45,    0
200586,19800917,   89,    0
200586,19800918,  104,    0
200586,19800919,   92,    0
200586,19800920,   56,    0
200586,19800921,   37,    0
200586,19800922,   46,    0
200586,19800923,   50,    0
200586,19800924,   42,    0
200586,19800925,   47,    0
200586,19800926,   72,    0
200586,19800927,   88,    0
200586,19800928,   76,    0
200586,19800929,   89,    0
200586,19800930,   93,    0
200586,19801001,   73,    0
200586,19801002,   61,    0
200586,19801003,   56,    0
200586,19801004,   68,    0
200586,19801005,   81,    0
200586,19801006,   90,    0
200586,19801007,   76,    0
200586,19801008,   65,    0
200586,19801009,   77,    0
200586,19801010,   70,    0
200586,19801011,   42,    0
200586,19801012,   51,    0
200586,19801013,   47,    0
200586,19801014,   32,    0
200586,19801015,   -4,    0
200586,19801016,  -10,    0
200586,19801017,    8,    0
200586,19801018,    2,    0
200586,19801019,   13,    0
200586,19801020,   30,    0
200586,19801021,   21,    0
200586,19801022,   -4,    0
200586,19801023,  -20,    0
200586,19801024,  -12,    0
200586,19801025,  -14,    0
200586,19801026,  -15,    0
200586,19801027,  -23,    0
200586,19801028,  -18,    0
200586,19801029,  -13,    0
200586,19801030,   -6,    0
200586,19801031,   32,    0
200586,19801101,   68,    0
200586,19801102,   78,    0
200586,19801103,   58,    0
200586,19801104,   19,    0
200586,19801105,   24,    0
200586,19801106,   25,    0
200586,19801107,   26,    0
200586,19801108,   -9,    0
200586,19801109,  -33,    0
200586,19801110,  -47,    0
200586,19801111,  -49,    0
200586,19801112,  -39,    0
200586,19801113,  -49,    0
200586,19801114,  -72,    0
200586,19801115,  -46,    0
200586,19801116,  -54,    0
200586,19801117,   -7,    0
200586,19801118,   -5,    0
200586,19801119,  -27,    0
200586,19801120,  -54,    0
200586,19801121,  -55,    0
200586,19801122,  -39,    0
200586,19801123,  -35,    0
200586,19801124,  -16,    0
200586,19801125,  -48,    0
200586,19801126,  -19,    0
200586,19801127,   -3,    0
200586,19801128,  -19,    0
200586,19801129,  -40,    0
200586,19801130,  -33,    0
200586,19801201,  -31,    0
200586,19801202,  -42,    0
200586,19801203,  -32,    0
200586,19801204,  -33,    0
200586,19801205,  -18,    0
200586,19801206,  -23,    0
200586,19801207,  -42,    0
200586,19801208,  -54,    0
200586,19801209,  -59,    0
200586,19801210,  -45,    0
200586,19801211,  -41,    0
200586,19801212,  -49,    0
200586,19801213,  -60,    0
200586,19801214,  -51,    0
200586,19801215,  -54,    0
200586,19801216,  -51,    0
200586,19801217,  -47,    0
200586,19801218,  -17,    0
200586,19801219,    0,    0
200586,19801220,  -11,    0
200586,19801221,  -17,    0
200586,19801222,  -30,    0
200586,19801223,  -33,    0
200586,19801224,  -28,    0
200586,19801225,    8,    0
200586,19801226,  -40,    0
200586,19801227,  -58,    0
200586,19801228,  -67,    0
200586,19801229,  -25,    0
200586,19801230,  -17,    0
200586,19801231,  -19,    0
200586,19810101,  -18,    0
200586,19810102,  -29,    0
200586,19810103,  -62,    0
200586,19810104,  -79,    0
200586,19810105,  -82,    0
200586,19810106,  -70,    0
200586,19810107,  -58,    0
200586,19810108,  -66,    0
200586,19810109,  -17,    0
200586,19810110,  -23,    0
200586,19810111,  -57,    0
200586,19810112,  -18,    0
200586,19810113,  -21,    0
200586,19810114,  -40,    0
200586,19810115,  -38,    0
200586,19810116,  -51,    0
200586,19810117,  -86,    0
200586,19810118,  -67,    0
200586,19810119,  -73,    0
200586,19810120,  -78,    0
200586,19810121,  -38,    0
200586,19810122,  -85,    0
200586,19810123,    2,    0
200586,19810124,   -5,    0
200586,19810125,  -30,    0
200586,19810126,  -28,    0
200586,19810127,  -11,    0
200586,19810128,  -42,    0
200586,19810129,  -70,    0
200586,19810130,  -39,    0
200586,19810131,  -30,    0
200586,19810201,  -31,    0
200586,19810202,  -46,    0
200586,19810203,  -60,    0
200586,19810204,  -67,    0
200586,19810205,  -66,    0
200586,19810206,  -77,    0
200586,19810207,  -41,    0
200586,19810208,  -26,    0
200586,19810209,  -21,    0
200586,19810210,  -20,    0
200586,19810211,  -56,    0
200586,19810212,  -46,    0
200586,19810213,  -29,    0
200586,19810214,  -28,    0
200586,19810215,  -33,    0
200586,19810216,    9,    0
200586,19810217,    2,    0
200586,19810218,   -9,    0
200586,19810219,  -15,    0
200586,19810220,  -27,    0
200586,19810221,  -59,    0
200586,19810222,  -54,    0
200586,19810223,  -40,    0
200586,19810224,  -30,    0
200586,19810225,  -30,    0
200586,19810226,  -36,    0
200586,19810227,   30,    0
200586,19810228,   -3,    0
200586,19810301,   -9,    0
200586,19810302,  -45,    0
200586,19810303,  -56,    0
200586,19810304,  -74,    0
200586,19810305,  -76,    0
200586,19810306,  -80,    0
200586,19810307,  -78,    0
200586,19810308,  -81,    0
200586,19810309,  -85,    0
200586,19810310,  -66,    0
200586,19810311,  -94,    0
200586,19810312, -114,    0
200586,19810313, -113,    0
200586,19810314,  -58,    0
200586,19810315,  -32,    0
200586,19810316,  -48,    0
200586,19810317,  -40,    0
200586,19810318,  -61,    0
200586,19810319,  -83,    0
200586,19810320,  -66,    0
200586,19810321,  -43,    0
200586,19810322,  -42,    0
200586,19810323,  -50,    0
200586,19810324,  -26,    0
200586,19810325,  -33,    0
200586,19810326,  -25,    0
200586,19810327,  -47,    0
200586,19810328,  -38,    0
200586,19810329,  -16,    0
200586,19810330,   33,    0
200586,19810331,   -9,    0
200586,19810401,   32,    0
200586,19810402,   47,    0
200586,19810403,   26,    0
200586,19810404,   13,    0
200586,19810405,    6,    0
200586,19810406,    1,    0
200586,19810407,  -27,    0
200586,19810408,  -37,    0
200586,19810409,  -32,    0
200586,19810410,   23,    0
200586,19810411,   20,    0
200586,19810412,   10,    0
200586,19810413,   11,    0
200586,19810414,   -6,    0
200586,19810415,  -10,    0
200586,19810416,   -1,    0
200586,19810417,   30,    0
200586,19810418,   -4,    0
200586,19810419,   15,    0
200586,19810420,  -36,    0
200586,19810421,  -54,    0
200586,19810422,  -46,    0
200586,19810423,  -49,    0
200586,19810424,  -63,    0
200586,19810425,  -40,    0
200586,19810426,  -40,    0
200586,19810427,  -31,    0
200586,19810428,  -26,    0
200586,19810429,  -24,    0
200586,19810430,  -23,    0
200586,19810501,  -27,    0
200586,19810502,  -36,    0
200586,19810503,  -24,    0
200586,19810504,   -7,    0
200586,19810505,    5,    0
200586,19810506,   17,    0
200586,19810507,   29,    0
200586,19810508,   29,    0
200586,19810509,   28,    0
200586,19810510,   19,    0
200586,19810511,   41,    0
200586,19810512,   62,    0
200586,19810513,   38,    0
200586,19810514,   12,    0
200586,19810515,   21,    0
200586,19810516,   67,    0
200586,19810517,   63,    0
200586,19810518,   33,    0
200586,19810519,   40,    0
200586,19810520,   74,    0
200586,19810521,   77,    0
200586,19810522,   79,    0
200586,19810523,   42,    0
200586,19810524,   50,    0
200586,19810525,   31,    0
200586,19810526,   10,    0
200586,19810527,   24,    0
200586,19810528,   34,    0
200586,19810529,   47,    0
200586,19810530,   16,    0
200586,19810531,   15,    0
200586,19810601,   34,    0
200586,19810602,   28,    0
200586,19810603,   33,    0
200586,19810604,   27,    0
200586,19810605,   13,    0
200586,19810606,   12,    0
200586,19810607,   44,    0
200586,19810608,   48,    0
200586,19810609,   51,    0
200586,19810610,   50,    0
200586,19810611,   44,    0
200586,19810612,   39,    0
200586,19810613,   51,    0
200586,19810614,   55,    0
200586,19810615,   50,    0
200586,19810616,   61,    0
200586,19810617,   54,    0
200586,19810618,   53,    0
200586,19810619,   48,    0
200586,19810620,   67,    0
200586,19810621,   63,    0
200586,19810622,   76,    0
200586,19810623,  113,    0
200586,19810624,   92,    0
200586,19810625,   58,    0
200586,19810626,   46,    0
200586,19810627,   50,    0
200586,19810628,   73,    0
200586,19810629,   71,    0
200586,19810630,   51,    0
200586,19810701,   57,    0
200586,19810702,   67,    0
200586,19810703,   85,    0
200586,19810704,  100,    0
200586,19810705,   89,    0
200586,19810706,   60,    0
200586,19810707,   57,    0
200586,19810708,   77,    0
200586,19810709,   95,    0
200586,19810710,  121,    0
200586,19810711,   76,    0
200586,19810712,   71,    0
200586,19810713,   80,    0
200586,19810714,   75,    0
200586,19810715,   78,    0
200586,19810716,   56,    0
200586,19810717,   68,    0
200586,19810718,   89,    0
200586,19810719,  115,    0
200586,19810720,   87,    0
200586,19810721,   78,    0
200586,19810722,   76,    0
200586,19810723,   87,    0
200586,19810724,  119,    0
200586,19810725,   90,    0
200586,19810726,  151,    0
200586,19810727,  194,    0
200586,19810728,   97,    0
200586,19810729,  100,    0
200586,19810730,  110,    0
200586,19810731,  102,    0
200586,19810801,  134,    0
200586,19810802,  110,    0
200586,19810803,  107,    0
200586,19810804,  117,    0
200586,19810805,  119,    0
200586,19810806,  116,    0
200586,19810807,   75,    0
200586,19810808,   65,    0
200586,19810809,   69,    0
200586,19810810,   84,    0
200586,19810811,   85,    0
200586,19810812,   91,    0
200586,19810813,   87,    0
200586,19810814,   75,    0
200586,19810815,   88,    0
200586,19810816,  121,    0
200586,19810817,  108,    0
200586,19810818,   79,    0
200586,19810819,   79,    0
200586,19810820,   58,    0
200586,19810821,   59,    0
200586,19810822,   65,    0
200586,19810823,   64,    0
200586,19810824,   72,    0
200586,19810825,   78,    0
200586,19810826,   82,    0
200586,19810827,   90,    0
200586,19810828,   71,    0
200586,19810829,   66,    0
200586,19810830,   80,    0
200586,19810831,   77,    0
200586,19810901,   87,    0
200586,19810902,   95,    0
200586,19810903,  100,    0
200586,19810904,   87,    0
200586,19810905,  106,    0
200586,19810906,   94,    0
200586,19810907,   78,    0
200586,19810908,   69,    0
200586,19810909,   59,    0
200586,19810910,   65,    0
200586,19810911,   74,    0
200586,19810912,   55,    0
200586,19810913,   49,    0
200586,19810914,   48,    0
200586,19810915,   52,    0
200586,19810916,   47,    0
200586,19810917,   51,    0
200586,19810918,   56,    0
200586,19810919,   67,    0
200586,19810920,   73,    0
200586,19810921,   79,    0
200586,19810922,   59,    0
200586,19810923,   47,    0
200586,19810924,   50,    0
200586,19810925,   47,    0
200586,19810926,   59,    0
200586,19810927,   75,    0
200586,19810928,   65,    0
200586,19810929,  112,    0
200586,19810930,   65,    0
200586,19811001,   40,    0
200586,19811002,   68,    0
200586,19811003,   58,    0
200586,19811004,   14,    0
200586,19811005,   39,    0
200586,19811006,   52,    0
200586,19811007,   46,    0
200586,19811008,   47,    0
200586,19811009,   44,    0
200586,19811010,   26,    0
200586,19811011,   35,    0
200586,19811012,   62,    0
